Time,Speed,Frequency,Duty Cycle
0.0,4.65,167.0,17.0
0.1,9.3,167.0,17.0
0.2,13.950000000000001,167.0,17.0
0.30000000000000004,18.6,167.0,17.0
0.4,23.25,167.0,17.0
0.5,27.900000000000002,167.0,17.332926829268292
0.6,32.550000000000004,167.0,17.72987804878049
0.7,37.2,167.0,18.126829268292685
0.7999999999999999,41.85,167.0,18.523780487804878
0.8999999999999999,46.5,167.0,18.920731707317074
0.9999999999999999,51.150000000000006,167.0,19.31768292682927
1.0999999999999999,55.800000000000004,167.0,19.714634146341464
1.2,60.45,167.0,20.11158536585366
1.3,65.10000000000001,167.0,20.508536585365853
1.4000000000000001,69.75,167.0,20.90548780487805
1.5000000000000002,74.4,167.0,21.302439024390246
1.6000000000000003,79.05000000000001,167.0,21.699390243902442
1.7000000000000004,83.7,167.0,22.096341463414635
1.8000000000000005,88.35000000000001,167.0,22.49329268292683
1.9000000000000006,93.0,167.0,22.890243902439025
2.0000000000000004,1.2,167.0,17.0
2.1000000000000005,2.4,167.0,17.0
2.2000000000000006,3.5999999999999996,167.0,17.0
2.3000000000000007,4.8,167.0,17.0
2.400000000000001,6.0,167.0,17.0
2.500000000000001,7.199999999999999,167.0,17.0
2.600000000000001,8.4,167.0,17.0
2.700000000000001,9.6,167.0,17.0
2.800000000000001,10.799999999999999,167.0,17.0
2.9000000000000012,12.0,167.0,17.0
3.0000000000000013,13.2,167.0,17.0
3.1000000000000014,14.399999999999999,167.0,17.0
3.2000000000000015,15.6,167.0,17.0
3.3000000000000016,16.8,167.0,17.0
3.4000000000000017,18.0,167.0,17.0
3.5000000000000018,19.2,167.0,17.0
3.600000000000002,20.4,167.0,17.0
3.700000000000002,21.599999999999998,167.0,17.0
3.800000000000002,22.8,167.0,17.0
3.900000000000002,24.0,167.0,17.0
4.000000000000002,4.8,12.0,34.0
4.100000000000001,9.6,12.0,34.0
4.200000000000001,14.399999999999999,12.0,34.0
4.300000000000001,19.2,12.0,34.0
4.4,24.0,12.0,34.0
4.5,28.799999999999997,13.639024390243902,34.0
4.6,33.6,15.278048780487806,34.0
4.699999999999999,38.4,16.917073170731708,34.0
4.799999999999999,43.199999999999996,18.55609756097561,34.0
4.899999999999999,48.0,20.195121951219512,34.0
4.999999999999998,52.8,21.834146341463416,34.0
5.099999999999998,57.599999999999994,23.473170731707317,34.0
5.1999999999999975,62.4,25.11219512195122,34.0
5.299999999999997,67.2,26.751219512195124,34.0
5.399999999999997,72.0,28.390243902439025,34.0
5.4999999999999964,76.8,30.02926829268293,34.0
5.599999999999996,81.6,31.66829268292683,34.0
5.699999999999996,86.39999999999999,33.30731707317073,34.0
5.799999999999995,91.2,34.94634146341464,34.0
5.899999999999995,96.0,36.58536585365854,34.0
5.999999999999995,2.3,167.0,17.0
6.099999999999994,4.6,167.0,17.0
6.199999999999994,6.8999999999999995,167.0,17.0
6.299999999999994,9.2,167.0,17.0
6.399999999999993,11.5,167.0,17.0
6.499999999999993,13.799999999999999,167.0,17.0
6.5999999999999925,16.099999999999998,167.0,17.0
6.699999999999992,18.4,167.0,17.0
6.799999999999992,20.7,167.0,17.0
6.8999999999999915,23.0,167.0,17.0
6.999999999999991,25.299999999999997,167.0,17.110975609756096
7.099999999999991,27.599999999999998,167.0,17.307317073170733
7.19999999999999,29.9,167.0,17.503658536585366
7.29999999999999,32.199999999999996,167.0,17.7
7.39999999999999,34.5,167.0,17.896341463414632
7.499999999999989,36.8,167.0,18.09268292682927
7.599999999999989,39.099999999999994,167.0,18.289024390243902
7.699999999999989,41.4,167.0,18.485365853658536
7.799999999999988,43.699999999999996,167.0,18.68170731707317
7.899999999999988,46.0,167.0,18.878048780487806
7.999999999999988,5.3,167.0,17.0
8.099999999999987,10.6,167.0,17.0
8.199999999999987,15.899999999999999,167.0,17.0
8.299999999999986,21.2,167.0,17.0
8.399999999999986,26.5,167.0,17.213414634146343
8.499999999999986,31.799999999999997,167.0,17.665853658536584
8.599999999999985,37.1,167.0,18.11829268292683
8.699999999999985,42.4,167.0,18.570731707317073
8.799999999999985,47.699999999999996,167.0,19.023170731707317
8.899999999999984,53.0,167.0,19.475609756097562
8.999999999999984,58.3,167.0,19.928048780487806
9.099999999999984,63.599999999999994,167.0,20.380487804878047
9.199999999999983,68.89999999999999,167.0,20.832926829268292
9.299999999999983,74.2,167.0,21.285365853658536
9.399999999999983,79.5,167.0,21.73780487804878
9.499999999999982,84.8,167.0,22.190243902439025
9.599999999999982,90.1,167.0,22.642682926829266
9.699999999999982,95.39999999999999,167.0,23.09512195121951
9.799999999999981,100.7,167.0,23.547560975609755
9.89999999999998,106.0,167.0,24.0
9.99999999999998,2.65,0.0,0.0
10.09999999999998,5.3,0.0,0.0
10.19999999999998,7.949999999999999,0.0,0.0
10.29999999999998,10.6,0.0,0.0
10.399999999999979,13.25,0.0,0.0
10.499999999999979,15.899999999999999,0.0,0.0
10.599999999999978,18.55,0.0,0.0
10.699999999999978,21.2,0.0,0.0
10.799999999999978,23.849999999999998,0.0,0.0
10.899999999999977,26.5,0.0,0.0
10.999999999999977,29.15,0.0,0.0
11.099999999999977,31.799999999999997,0.0,0.0
11.199999999999976,34.449999999999996,0.0,0.0
11.299999999999976,37.1,0.0,0.0
11.399999999999975,39.75,0.0,0.0
11.499999999999975,42.4,0.0,0.0
11.599999999999975,45.05,0.0,0.0
11.699999999999974,47.699999999999996,0.0,0.0
11.799999999999974,50.35,0.0,0.0
11.899999999999974,53.0,0.0,0.0
11.999999999999973,1.65,4.0,32.0
12.099999999999973,3.3,4.0,32.0
12.199999999999973,4.949999999999999,4.0,32.0
12.299999999999972,6.6,4.0,32.0
12.399999999999972,8.25,4.0,32.0
12.499999999999972,9.899999999999999,4.0,32.0
12.599999999999971,11.549999999999999,4.0,32.0
12.69999999999997,13.2,4.0,32.0
12.79999999999997,14.85,4.0,32.0
12.89999999999997,16.5,4.0,32.0
12.99999999999997,18.15,4.0,32.0
13.09999999999997,19.799999999999997,4.0,32.0
13.199999999999969,21.45,4.0,32.0
13.299999999999969,23.099999999999998,4.0,32.0
13.399999999999968,24.75,4.027439024390244,32.0
13.499999999999968,26.4,4.087804878048781,32.0
13.599999999999968,28.049999999999997,4.148170731707317,32.0
13.699999999999967,29.7,4.208536585365854,32.0
13.799999999999967,31.349999999999998,4.26890243902439,32.0
13.899999999999967,33.0,4.329268292682927,32.0
13.999999999999966,1.75,4.0,32.0
14.099999999999966,3.5,4.0,32.0
14.199999999999966,5.25,4.0,32.0
14.299999999999965,7.0,4.0,32.0
14.399999999999965,8.75,4.0,32.0
14.499999999999964,10.5,4.0,32.0
14.599999999999964,12.25,4.0,32.0
14.699999999999964,14.0,4.0,32.0
14.799999999999963,15.75,4.0,32.0
14.899999999999963,17.5,4.0,32.0
14.999999999999963,19.25,4.0,32.0
15.099999999999962,21.0,4.0,32.0
15.199999999999962,22.75,4.0,32.0
15.299999999999962,24.5,4.0182926829268295,32.0
15.399999999999961,26.25,4.0823170731707314,32.0
15.499999999999961,28.0,4.146341463414634,32.0
15.59999999999996,29.75,4.210365853658536,32.0
15.69999999999996,31.5,4.274390243902439,32.0
15.79999999999996,33.25,4.338414634146341,32.0
15.89999999999996,35.0,4.402439024390244,32.0
